Date,Description,Cost
2025-01-10,FLIX 122-2237631 TX,31.98
2025-01-12,DD *DOORDASH MCDONALDS 855-431-0459 CA,16.32
2025-01-14,UNIVERSITY BKSTR #2119 SAN MARCOS TX,14.05
2025-01-20,TXST HEALTH CENTER SAN MARCOS TX,7.58
2025-01-25,UBER *TRIP HELP.UBER.COM CA,7.76
2025-01-29,WALMART.COM 800-925-6278 AR,85.57
2025-02-04,H-E-B #455 SAN MARCOS TX,12.43
2025-02-04,WALMART.COM 800-925-6278 AR,54.18
2025-02-04,H-E-B #455 SAN MARCOS TX,1.58
2025-02-12,H-E-B #243 SAN MARCOS TX,20.36
2025-02-12,DD *DOORDASH MCDONALDS 855-431-0459 CA,12.5
2025-02-19,AMAZON MKTPL*QI25E1KM3 Amzn.com/bill WA,16.77
2025-02-19,UBER *EATS HELP.UBER.COM CA,19.9
2025-02-21,COLLEGEBOARD*SAT ONLN. 212-7137789 NY,111.0
2025-02-22,H-E-B #455 SAN MARCOS TX,8.76
2025-03-01,MINT MOBILE 800-683-7392 CA,66.85
2025-03-02,AMAZON MKTPL*CL4AG1913 Amzn.com/bill WA,22.96
2025-03-03,H-E-B #243 SAN MARCOS TX,61.17
2025-03-11,H-E-B #455 SAN MARCOS TX,26.03
2025-03-13,H-E-B #455 SAN MARCOS TX,12.51
2025-03-14,APF*Bruggeman Capital LLC 512-4447700 TX,50.0
2025-03-17,WAL-MART #404 SAN MARCOS TX,54.89
2025-03-23,H-E-B #455 SAN MARCOS TX,15.0
2025-03-24,H-E-B #455 SAN MARCOS TX,5.08
2025-03-24,GoFundMe Support Epson Bh GOFUNDME.COM CA,10.0
2025-03-31,MCDONALD'S F33091 KYLE TX,6.91
2025-04-01,US TREAS TAX PYMT 888-658-5465 TN,338.0
2025-04-01,SERVICE FEE 888-658-5465 TN,5.92
2025-04-02,SPRINTAX NR TAX SPRINTAX.COM NY,58.58
2025-04-04,H-E-B #455 SAN MARCOS TX,12.55
2025-04-09,PAK MAIL - THORPE LANE SAN MARCOS TX,4.0
2025-04-11,Amazon.com*6V90Y8KJ3 Amzn.com/bill WA,21.46
2025-04-11,DD *DOORDASH WHATABURG 855-431-0459 CA,13.39
2025-04-14,TARGET 00033357 SAN MARCOS TX,2.89
2025-04-18,AMAZON MKTPL*C59QR3Q83 Amzn.com/bill WA,14.05
2025-04-18,TARGET 00033357 SAN MARCOS TX,3.99
2025-04-29,WALMART.COM 800-925-6278 AR,37.83
2025-04-30,AMAZON MKTPL*NB0X938N2 Amzn.com/bill WA,10.8
2025-05-06,WALMART.COM 800-925-6278 AR,227.3
2025-05-17,H-E-B #455 SAN MARCOS TX,15.69
2025-05-17,DESI BROTHERS AUSTIN TX,88.92
2025-05-17,H-E-B #455 SAN MARCOS TX,5.93
2025-05-31,MINT MOBILE 800-683-7392 CA,82.0
2025-05-31,FLIX 122-2237631 TX,22.97
2025-06-01,WALMART.COM 800-925-6278 AR,126.98
2025-06-01,WALMART.COM 800-925-6278 AR,2.53
2025-06-01,H-E-B #455 SAN MARCOS TX,14.58
2025-06-04,WALMART.COM 800-925-6278 AR,43.54
2025-06-06,FLIX 122-2237631 TX,23.97
2025-06-06,UBER *EATS HELP.UBER.COM CA,15.71
2025-06-07,MCDONALD'S F11354 AUSTIN TX,4.75
2025-06-07,CHICK-FIL-A #04547 AUSTIN TX,9.03
2025-06-11,SQ *CAPITAL AREA RURAL TR San Marcos TX,4.0
2025-06-13,MCDONALD'S F8168 SAN MARCOS TX,3.78
2025-06-13,H-E-B #455 SAN MARCOS TX,2.34
2025-06-13,H-E-B #455 SAN MARCOS TX,18.27
2025-06-15,ROYAL PUFF SAN MARCOS TX,11.02
2025-06-15,WALMART.COM 800-925-6278 AR,69.22
2025-06-18,SQ *CAPITAL AREA8,FLIX 122-22376 RURAL TR San Marcos TX,6.0
2025-06-131 TX,19.47
2025-06-20,H-E-B #455 SAN MARCOS TX,21.56
2025-06-23,MCDONALD'S F8168 SAN MARCOS TX,10.79
2025-06-28,SHEIN.COM 844-8022500 NY,25.37
2025-06-29,TXST NEW STUDENT ORIEN. MARCUS@TXSTAT TX,70.0
2025-06-29,TXST NEW STUDENT ORIEN. MARCUS@TXSTAT TX,70.0
2025-06-30,TXST TESTING CTR WEB MARCUS@TXSTAT TX,40.0
2025-06-30,UBER *ONE HELP.UBER.COM CA,9.99
2025-06-30,H-E-B #455 SAN MARCOS TX,55.45
2025-07-02,H-E-B #455 SAN MARCOS TX,2.98
2025-07-02,MCDONALD'S F8168 SAN MARCOS TX,7.56
2025-07-04,DOMINO'S 6617 AUSTIN TX,30.26
2025-07-08,H-E-B #455 SAN MARCOS TX,11.18
2025-07-11,H-E-B #455 SAN MARCOS TX,8.94
2025-07-12,WALMART.COM 800-925-6278 AR,62.64
2025-07-14,DD *DOORDASH MCDONALDS 855-431-0459 CA,12.34
2025-07-17,H-E-B #455 SAN MARCOS TX,28.59
2025-07-17,Amazon.com*SS4DT3US3 Amzn.com/bill WA,57.2
2025-07-20,H-E-B #455 SAN MARCOS TX,2.98
2025-07-23,H-E-B #455 SAN MARCOS TX,2.04
2025-07-26,H-E-B #455 SAN MARCOS TX,1.39
2025-07-30,MCDONALD'S F8168 SAN MARCOS TX,15.87
2025-07-30,H-E-B #455 SAN MARCOS TX,2.68
2025-08-03,H-E-B #243 SAN MARCOS TX,3.58
